episode,scene_index,scene_id,content_state,has_transcript,x,y,entities,dialogue_hints,artifact_hints
01x04 - Male Unbonding,26,6cecfdac1a16339b70e5ae36d94caf365d2763785733d2134750c95e1e6e744e,signal,1,10.004297,9.183289,It's; You; I'm; All; But; Well,,
01x04 - Male Unbonding,27,6662c85ac552cd83a12e17bfafbe905b2efba138dba719f2897fbbadad672b18,signal,1,-1.696582,10.273311,Joel; Jerry; WheelClaw,,
01x04 - Male Unbonding,28,fb6d2700d2d3ea57fe4af14e078d23bdd06fe32fe1aab48732482b31d91019a4,signal,1,-1.151794,10.628824,Trap; I'm; Okay; Wanna; What; You,,
01x04 - Male Unbonding,29,d34eb4c8b4ee487ec526f52b2a297e023c8a72c1be28874cd01b6d3ddae90993,signal,1,4.765779,4.825418,I'll; You'll; I'm; Picking; Okay; It's,,
01x04 - Male Unbonding,30,f458eb693c174a59ba39239630f78838410e73ce98f82b6cddf0f2739805d2cc,signal,1,4.961105,3.577509,Dan,,
01x04 - Male Unbonding,31,04b1d3bcd0c52c2ae9318cdab02c6a726586303af3cc19b153118f50f62b510e,signal,1,9.434283,3.082316,Mu,,
01x04 - Male Unbonding,32,61210fc49216e1ff4783f9b7381e57edb8f1a8723e91e05154eec9d850ff8bb9,signal,1,7.649154,1.921494,Lane; Nick; Harn; Horn,,
01x04 - Male Unbonding,33,1c73a3fa852f0364d418e52101a36b357f2a271da44a9e7fe57a002d38e28ff1,signal,1,6.570045,1.754953,Elaine Bennis; Joel Hornic; Nelson; Elaine,,
01x04 - Male Unbonding,34,ce2a7594ada759d6bf6fa1a3e7086aa7eb8d3f851b773330afc689df46bac55d,signal,1,5.836709,1.596953,Eastern European National Anthem,,
01x04 - Male Unbonding,35,a3ac5aa34ea7894df85f026e111e7a4beb3a839940e145ba7e89479a412b9752,signal,1,7.365970,0.509232,Maver; ##icks; Mavericks; Lakers,,
01x04 - Male Unbonding,36,fc7b9736364c18ce8c461848a0f99d9260bd72b877e22f46c7a47a885f104c22,signal,1,-13.075147,-8.743183,The; This; You; We're,,
01x04 - Male Unbonding,37,1805c8060538b10d9fb3f859248b7e2eb45f81c5d0a6f82221a8f2d8a280c7f0,signal,1,-14.533555,-8.731010,Thank,,
01x05 - The Stock Tip,0,7bfe449aeabc3002b5e6f394b804e7cbe7b03ebae9445c36d03fb465d60970dd,signal,1,-12.098342,-9.994445,We're; Check; Never; Because; Before; Now,,
01x05 - The Stock Tip,1,a6a0e418c1cc1c31db84f70a43a75d112b27d7debedb1696718976a262d02332,signal,1,10.345873,-14.811419,Superman; Krypton,,
01x05 - The Stock Tip,2,7451a96e2bb8affa1926ee7c2e045fb18ab3d763600b15fb30a96bae8cd3eb4d,signal,1,10.098403,-13.682959,Why; I'm; What,,
01x05 - The Stock Tip,3,4344e19ca2c040b570652b9c14f0582d0a4d8e572c08d05b904b5a4325a4163b,signal,1,10.272076,-12.685137,Robert,,
01x05 - The Stock Tip,4,9a81ead6ba817584fd86ac0636b1330345e82fefff36d220143552beff663030,signal,1,9.653646,-12.125965,Vanessa; Catherine; Vermont,,
01x05 - The Stock Tip,5,f834ec0e6d23bad7a503147288399c35fc9f64b55ae28632f8775b17365ebaac,signal,1,8.925930,-13.301266,Texas Panhandle,,
01x05 - The Stock Tip,6,a5bbc6bb13c6919d3dea43a45a704c505e03e9a10a62974c9adea9e1e219b8d1,signal,1,7.801319,-12.531916,Simon; Wilkinson; Bill,,
01x05 - The Stock Tip,7,c959dae3f7cb46b070f8805c886dac28a7742730fb537511f7be888c78938f5c,signal,1,7.640187,-13.369423,Wilkinson,,
01x05 - The Stock Tip,8,59aef76e9104fa3d88ab57b03ae59feba89ea87e3a9786892495cd83e3b5e4d5,signal,1,8.989832,-14.243686,English,,
01x05 - The Stock Tip,9,3facab49f684eed78ae2d3d848b2a74a43695fbb92047b057cc0db944b29f332,signal,1,2.593042,-9.366573,Vermont,,
01x05 - The Stock Tip,10,5a8d8fd332352b8c33a502453133a9d4a5d8e991b4ae4eb75562a6162218cdbf,signal,1,2.374920,-9.491062,2; Mar; Marlin; Vermont,,
01x05 - The Stock Tip,11,58a804cc43ab9dd3b6f7e3364a1ba7df7978c3f021d09f50ebd2070df9db1558,signal,1,5.833336,-13.841164,Jerry; ZenTrack,,
01x05 - The Stock Tip,12,681e6ebb69786293bf59858a887d93854c619780df5e9b6fc029847d0f7396da,signal,1,10.483729,6.832257,George Costanz; George,,
